,RawData,TradeDate,TradeTime,TradeSequenceNumber,SessionIndicator,TickerSymbol,FOIIndicator,DeliveryDate,TradeQuantity,StrikePrice,StrikePriceDecimalLocator,Ask/BidType,IndicativevQuoteType,MarketQuote,Close/OpenType,ValidOpenException,PostClose,CancelCodetype,InsertCodeType,Fast/LateIndicator,CabinetIndicator,BookIndicator,EntryDate
33,2020031216580124503648ECL F200400000       000033242 I          200311,20200312,165801,24503648,E,CL ,F,2004,00000,0003324,2, ,I, , ,  , , , , , , ,200311
34,2020031216580924503649ECL F200400001       000033242B M         200311,20200312,165809,24503649,E,CL ,F,2004,00001,0003324,2,B, ,M, ,  , , , , , , ,200311
35,2020031216580924503649ECL F200400002       000033232B M         200311,20200312,165809,24503649,E,CL ,F,2004,00002,0003323,2,B, ,M, ,  , , , , , , ,200311
36,2020031216580924503650ECL F200400001       000033052B M         200311,20200312,165809,24503650,E,CL ,F,2004,00001,0003305,2,B, ,M, ,  , , , , , , ,200311
37,2020031216580924503650ECL F200400001       000033242B M         200311,20200312,165809,24503650,E,CL ,F,2004,00001,0003324,2,B, ,M, ,  , , , , , , ,200311
38,2020031216580924503651ECL F200400001       000033242B M         200311,20200312,165809,24503651,E,CL ,F,2004,00001,0003324,2,B, ,M, ,  , , , , , , ,200311
39,2020031216580924503651ECL F200400003       000033132B M         200311,20200312,165809,24503651,E,CL ,F,2004,00003,0003313,2,B, ,M, ,  , , , , , , ,200311
40,2020031216580924503653ECL F200400003       000033132A M         200311,20200312,165809,24503653,E,CL ,F,2004,00003,0003313,2,A, ,M, ,  , , , , , , ,200311
41,2020031216580924503653ECL F200400003       000033132A M         200311,20200312,165809,24503653,E,CL ,F,2004,00003,0003313,2,A, ,M, ,  , , , , , , ,200311
42,2020031216580924503656ECL F200400000       000033132 I          200311,20200312,165809,24503656,E,CL ,F,2004,00000,0003313,2, ,I, , ,  , , , , , , ,200311
43,2020031216581624503662ECL F200400003       000033132B M         200311,20200312,165816,24503662,E,CL ,F,2004,00003,0003313,2,B, ,M, ,  , , , , , , ,200311
44,2020031216581624503662ECL F200400001       000033052B M         200311,20200312,165816,24503662,E,CL ,F,2004,00001,0003305,2,B, ,M, ,  , , , , , , ,200311
45,2020031216581624503663ECL F200400003       000033122B M         200311,20200312,165816,24503663,E,CL ,F,2004,00003,0003312,2,B, ,M, ,  , , , , , , ,200311
46,2020031216581624503663ECL F200400003       000033132B M         200311,20200312,165816,24503663,E,CL ,F,2004,00003,0003313,2,B, ,M, ,  , , , , , , ,200311
47,2020031216581624503664ECL F200400003       000033122A M         200311,20200312,165816,24503664,E,CL ,F,2004,00003,0003312,2,A, ,M, ,  , , , , , , ,200311
48,2020031216581624503664ECL F200400003       000033122A M         200311,20200312,165816,24503664,E,CL ,F,2004,00003,0003312,2,A, ,M, ,  , , , , , , ,200311
49,2020031216581624503667ECL F200400000       000033122 I          200311,20200312,165816,24503667,E,CL ,F,2004,00000,0003312,2, ,I, , ,  , , , , , , ,200311
50,2020031216582524503669ECL F200400003       000033122A M         200311,20200312,165825,24503669,E,CL ,F,2004,00003,0003312,2,A, ,M, ,  , , , , , , ,200311
51,2020031216582524503669ECL F200400004       000033122A M         200311,20200312,165825,24503669,E,CL ,F,2004,00004,0003312,2,A, ,M, ,  , , , , , , ,200311
52,2020031216585024503672ECL F200400005       000033122A M         200311,20200312,165850,24503672,E,CL ,F,2004,00005,0003312,2,A, ,M, ,  , , , , , , ,200311
53,2020031216585024503672ECL F200400003       000033122A M         200311,20200312,165850,24503672,E,CL ,F,2004,00003,0003312,2,A, ,M, ,  , , , , , , ,200311
54,2020031216585824503673ECL F200400003       000033122A M         200311,20200312,165858,24503673,E,CL ,F,2004,00003,0003312,2,A, ,M, ,  , , , , , , ,200311
55,2020031216585824503673ECL F200400006       000033122A M         200311,20200312,165858,24503673,E,CL ,F,2004,00006,0003312,2,A, ,M, ,  , , , , , , ,200311
56,2020031216590024503674ECL F200400006       000033122B M         200311,20200312,165900,24503674,E,CL ,F,2004,00006,0003312,2,B, ,M, ,  , , , , , , ,200311
57,2020031216590024503674ECL F200400001       000033052B M         200311,20200312,165900,24503674,E,CL ,F,2004,00001,0003305,2,B, ,M, ,  , , , , , , ,200311
58,2020031216590024503675ECL F200400001       000033022B M         200311,20200312,165900,24503675,E,CL ,F,2004,00001,0003302,2,B, ,M, ,  , , , , , , ,200311
59,2020031216590024503675ECL F200400006       000033122B M         200311,20200312,165900,24503675,E,CL ,F,2004,00006,0003312,2,B, ,M, ,  , , , , , , ,200311
60,2020031216590024503676ECL F200400006       000033122B M         200311,20200312,165900,24503676,E,CL ,F,2004,00006,0003312,2,B, ,M, ,  , , , , , , ,200311
61,2020031216590024503676ECL F200400002       000033032B M         200311,20200312,165900,24503676,E,CL ,F,2004,00002,0003303,2,B, ,M, ,  , , , , , , ,200311
62,2020031216590024503678ECL F200400002       000033032A M         200311,20200312,165900,24503678,E,CL ,F,2004,00002,0003303,2,A, ,M, ,  , , , , , , ,200311
63,2020031216590024503678ECL F200400001       000033032A M         200311,20200312,165900,24503678,E,CL ,F,2004,00001,0003303,2,A, ,M, ,  , , , , , , ,200311
64,2020031216590024503681ECL F200400000       000033032 I          200311,20200312,165900,24503681,E,CL ,F,2004,00000,0003303,2, ,I, , ,  , , , , , , ,200311
